,ticker,date,close
13583,AA,2016-01-04,9.71
13584,AA,2016-01-05,9.27
13585,AA,2016-01-06,8.61
13586,AA,2016-01-07,8.27
13587,AA,2016-01-08,8.07
13588,AA,2016-01-11,8.0
13589,AA,2016-01-12,7.28
13590,AA,2016-01-13,7.13
13591,AA,2016-01-14,7.24
13592,AA,2016-01-15,6.9
13593,AA,2016-01-19,6.74
13594,AA,2016-01-20,6.74
13595,AA,2016-01-21,7.09
13596,AA,2016-01-22,6.87
13597,AA,2016-01-25,6.8
13598,AA,2016-01-26,7.14
13599,AA,2016-01-27,6.96
13600,AA,2016-01-28,7.0
13601,AA,2016-01-29,7.29
13602,AA,2016-02-01,7.21
13603,AA,2016-02-02,6.97
13604,AA,2016-02-03,7.55
13605,AA,2016-02-04,8.31
13606,AA,2016-02-05,8.12
13607,AA,2016-02-08,7.9
13608,AA,2016-02-09,7.81
13609,AA,2016-02-10,7.54
13610,AA,2016-02-11,7.33
13611,AA,2016-02-12,7.69
13612,AA,2016-02-16,8.12
13613,AA,2016-02-17,8.52
13614,AA,2016-02-18,8.12
13615,AA,2016-02-19,7.87
13616,AA,2016-02-22,8.91
13617,AA,2016-02-23,8.53
13618,AA,2016-02-24,8.76
13619,AA,2016-02-25,8.87
13620,AA,2016-02-26,8.87
13621,AA,2016-02-29,8.93
13622,AA,2016-03-01,9.11
13623,AA,2016-03-02,9.62
13624,AA,2016-03-03,9.47
13625,AA,2016-03-04,9.57
13626,AA,2016-03-07,10.04
13627,AA,2016-03-08,9.33
13628,AA,2016-03-09,9.42
13629,AA,2016-03-10,9.59
13630,AA,2016-03-11,9.52
13631,AA,2016-03-14,9.67
13632,AA,2016-03-15,9.16
13633,AA,2016-03-16,9.74
13634,AA,2016-03-17,9.94
13635,AA,2016-03-18,10.03
13636,AA,2016-03-21,9.89
13637,AA,2016-03-22,9.85
13638,AA,2016-03-23,9.32
13639,AA,2016-03-24,9.57
13640,AA,2016-03-28,9.7
13641,AA,2016-03-29,9.72
13642,AA,2016-03-30,9.68
13643,AA,2016-03-31,9.58
13644,AA,2016-04-01,9.63
13645,AA,2016-04-04,9.4
13646,AA,2016-04-05,9.41
13647,AA,2016-04-06,9.5
13648,AA,2016-04-07,9.48
13649,AA,2016-04-08,9.37
13650,AA,2016-04-11,9.74
13651,AA,2016-04-12,9.48
13652,AA,2016-04-13,9.79
13653,AA,2016-04-14,10.01
13654,AA,2016-04-15,10.01
13655,AA,2016-04-18,10.09
13656,AA,2016-04-19,10.53
13657,AA,2016-04-20,10.59
13658,AA,2016-04-21,10.42
13659,AA,2016-04-22,10.4
13660,AA,2016-04-25,10.16
13661,AA,2016-04-26,10.66
