,ticker,date,close
0,AA,1962-01-02,65.38
1,AA,1962-01-03,66.37
2,AA,1962-01-04,66.37
3,AA,1962-01-05,66.25
4,AA,1962-01-08,64.0
5,AA,1962-01-09,63.75
6,AA,1962-01-10,63.88
7,AA,1962-01-11,63.5
8,AA,1962-01-12,62.0
9,AA,1962-01-15,60.75
10,AA,1962-01-16,60.0
11,AA,1962-01-17,60.0
12,AA,1962-01-18,60.0
13,AA,1962-01-19,60.25
14,AA,1962-01-22,60.5
15,AA,1962-01-23,60.13
16,AA,1962-01-24,59.75
17,AA,1962-01-25,59.12
18,AA,1962-01-26,59.38
19,AA,1962-01-29,59.25
20,AA,1962-01-30,59.87
21,AA,1962-01-31,59.75
22,AA,1962-02-01,59.38
23,AA,1962-02-02,59.12
24,AA,1962-02-05,59.5
25,AA,1962-02-06,58.75
26,AA,1962-02-07,59.12
27,AA,1962-02-08,58.87
28,AA,1962-02-09,58.25
29,AA,1962-02-12,58.13
30,AA,1962-02-13,58.87
31,AA,1962-02-14,58.0
32,AA,1962-02-15,57.5
33,AA,1962-02-16,58.37
34,AA,1962-02-19,58.87
35,AA,1962-02-20,59.87
36,AA,1962-02-21,60.37
37,AA,1962-02-23,60.75
38,AA,1962-02-26,61.0
39,AA,1962-02-27,61.0
40,AA,1962-02-28,60.5
41,AA,1962-03-01,62.75
42,AA,1962-03-02,63.37
43,AA,1962-03-05,64.25
44,AA,1962-03-06,64.87
45,AA,1962-03-07,64.63
46,AA,1962-03-08,64.63
47,AA,1962-03-09,64.87
48,AA,1962-03-12,66.37
49,AA,1962-03-13,66.5
50,AA,1962-03-14,66.62
51,AA,1962-03-15,66.62
52,AA,1962-03-16,67.0
53,AA,1962-03-19,65.0
54,AA,1962-03-20,65.25
55,AA,1962-03-21,66.25
56,AA,1962-03-22,67.87
57,AA,1962-03-23,67.5
58,AA,1962-03-26,67.5
59,AA,1962-03-27,66.25
60,AA,1962-03-28,66.0
61,AA,1962-03-29,64.75
62,AA,1962-03-30,63.88
63,AA,1962-04-02,63.62
64,AA,1962-04-03,65.25
65,AA,1962-04-04,65.38
66,AA,1962-04-05,64.75
67,AA,1962-04-06,64.87
68,AA,1962-04-09,64.5
69,AA,1962-04-10,64.0
70,AA,1962-04-11,63.13
71,AA,1962-04-12,63.37
72,AA,1962-04-13,63.37
73,AA,1962-04-16,63.62
74,AA,1962-04-17,64.13
75,AA,1962-04-18,63.75
76,AA,1962-04-19,63.62
77,AA,1962-04-23,64.25
78,AA,1962-04-24,64.5
79,AA,1962-04-25,62.5
80,AA,1962-04-26,61.63
81,AA,1962-04-27,61.75
82,AA,1962-04-30,61.37
83,AA,1962-05-01,61.37
84,AA,1962-05-02,60.0
85,AA,1962-05-03,61.0
86,AA,1962-05-04,59.75
87,AA,1962-05-07,58.13
88,AA,1962-05-08,57.37
89,AA,1962-05-09,56.87
90,AA,1962-05-10,56.25
91,AA,1962-05-11,56.0
92,AA,1962-05-14,56.5
93,AA,1962-05-15,56.75
94,AA,1962-05-16,55.25
95,AA,1962-05-17,54.5
96,AA,1962-05-18,54.25
97,AA,1962-05-21,54.25
98,AA,1962-05-22,54.5
99,AA,1962-05-23,54.13
100,AA,1962-05-24,53.0
101,AA,1962-05-25,52.5
102,AA,1962-05-28,52.0
103,AA,1962-05-29,54.5
104,AA,1962-05-31,54.88
105,AA,1962-06-01,54.88
106,AA,1962-06-04,54.75
107,AA,1962-06-05,55.13
108,AA,1962-06-06,55.87
109,AA,1962-06-07,54.75
110,AA,1962-06-08,55.5
111,AA,1962-06-11,54.88
112,AA,1962-06-12,53.25
113,AA,1962-06-13,52.25
